name,town,county,region,postcode
Wood Green,London,Greater London,London,
Mill Hill,London,Greater London,London,
Isleworth,London,Greater London,London,
Erith,London,Greater London,London,
Wanstead,London,Greater London,London,
Southall,London,Greater London,London,
Sutton,London,Greater London,London,
Garretts Green,Birmingham,West Midlands,West Midlands,
Kings Heath,Birmingham,West Midlands,West Midlands,
Chelmsley Wood,Birmingham,West Midlands,West Midlands,
Wolverhampton,Wolverhampton,West Midlands,West Midlands,
Openshaw,Manchester,Greater Manchester,North West,
Bredbury,Stockport,Greater Manchester,North West,
Sale,Manchester,Greater Manchester,North West,
Speke,Liverpool,Merseyside,North West,
Norris Green,Liverpool,Merseyside,North West,
Leeds,Leeds,West Yorkshire,Yorkshire and the Humber,
Sheffield,Sheffield,South Yorkshire,Yorkshire and the Humber,
Wakefield,Wakefield,West Yorkshire,Yorkshire and the Humber,
Gosforth,Newcastle upon Tyne,Tyne and Wear,North East,
Sunderland,Sunderland,Tyne and Wear,North East,
Kingswood,Bristol,Bristol,South West,
Exeter,Exeter,Devon,South West,
Plympton,Plymouth,Devon,South West,
Maybush,Southampton,Hampshire,South East,
Fratton,Portsmouth,Hampshire,South East,
Cowley,Oxford,Oxfordshire,South East,
Reading,Reading,Berkshire,South East,
Hollingbury,Brighton,East Sussex,South East,
Canterbury,Canterbury,Kent,South East,
Norwich,Norwich,Norfolk,East of England,
Cambridge,Cambridge,Cambridgeshire,East of England,
Chilwell,Nottingham,Nottinghamshire,East Midlands,
Colwick,Nottingham,Nottinghamshire,East Midlands,
Wigston,Leicester,Leicestershire,East Midlands,
Alvaston,Derby,Derbyshire,East Midlands,
Fairwater,Cardiff,South Glamorgan,Wales,
Upper Killay,Swansea,West Glamorgan,Wales,
Wrexham,Wrexham,Clwyd,Wales,
Shieldhall,Glasgow,Lanarkshire,Scotland,
Anniesland,Glasgow,Lanarkshire,Scotland,
Currie,Edinburgh,Midlothian,Scotland,
Musselburgh,Musselburgh,East Lothian,Scotland,
Aberdeen,Aberdeen,Aberdeenshire,Scotland,
Dundee,Dundee,Angus,Scotland,
Inverness,Inverness,Highland,Scotland,
Peebles,Peebles,Scottish Borders,Scotland,
